,cod_tse,cod_ibge,nome_mun,uf,estado,12,13,14,15,16,21,22,27,30,44,80,status
0,00019,1100106,GUAJARÁ-MIRIM,RO,RONDÔNIA,"2,06","34,19","0,05","3,82","0,00","0,00","59,14","0,01","0,15","0,53","0,03",4
1,00035,1100205,PORTO VELHO,RO,RONDÔNIA,"2,94","34,21","0,11","4,55","0,02","0,03","56,83","0,02","0,42","0,81","0,04",4
2,00051,1100122,JI-PARANÁ,RO,RONDÔNIA,"1,92","24,24","0,08","3,08","0,02","0,03","69,79","0,01","0,26","0,55","0,02",4
3,00078,1100023,ARIQUEMES,RO,RONDÔNIA,"1,74","20,97","0,06","2,85","0,01","0,03","73,52","0,00","0,29","0,48","0,03",4
4,00094,1100049,CACOAL,RO,RONDÔNIA,"2,10","24,04","0,08","3,28","0,01","0,02","69,55","0,01","0,34","0,55","0,03",4
5,00116,1100189,PIMENTA BUENO,RO,RONDÔNIA,"1,73","24,76","0,05","2,90","0,02","0,03","69,79","0,01","0,23","0,47","0,01",4
6,00132,1100304,VILHENA,RO,RONDÔNIA,"1,72","22,22","0,09","3,24","0,02","0,03","71,86","0,01","0,31","0,47","0,02",4
7,00159,1100114,JARU,RO,RONDÔNIA,"1,77","23,45","0,07","2,78","0,01","0,05","70,98","0,00","0,16","0,72","0,01",4
8,00175,1100155,OURO PRETO DO OESTE,RO,RONDÔNIA,"2,23","28,02","0,05","2,95","0,00","0,05","66,01","0,01","0,13","0,53","0,02",4
9,00191,1100254,PRESIDENTE MÉDICI,RO,RONDÔNIA,"1,86","25,77","0,05","3,58","0,01","0,02","67,69","0,03","0,24","0,74","0,02",4
10,00213,1100080,COSTA MARQUES,RO,RONDÔNIA,"1,14","37,82","0,03","2,80","00,00","0,01","57,56","0,01","0,07","0,55","00,00",4
11,00230,1100064,COLORADO DO OESTE,RO,RONDÔNIA,"1,57","26,10","0,08","3,18","0,02","0,01","68,20","00,00","0,22","0,61","0,01",4
12,00256,1100098,ESPIGÃO DO OESTE,RO,RONDÔNIA,"1,68","24,08","0,08","2,71","0,01","0,02","70,56","00,00","0,19","0,66","00,00",4
13,00272,1100056,CEREJEIRAS,RO,RONDÔNIA,"1,51","19,93","0,05","2,93","00,00","0,04","74,73","0,01","0,13","0,64","0,02",4
14,00299,1100288,ROLIM DE MOURA,RO,RONDÔNIA,"2,20","25,97","0,06","2,89","0,03","0,03","67,92","0,01","0,19","0,68","0,02",4
15,00310,1100015,ALTA FLORESTA D&apos;OESTE,RO,RONDÔNIA,"1,39","28,98","0,07","2,75","0,01","0,03","65,86","0,01","0,08","0,82","0,01",4
16,00337,1100346,ALVORADA DO OESTE,RO,RONDÔNIA,"2,08","34,82","0,07","3,11","0,02","0,01","58,88","00,00","0,27","0,68","0,05",4
17,00353,1100296,SANTA LUZIA D&apos;OESTE,RO,RONDÔNIA,"1,72","33,00","0,04","3,81","00,00","00,00","60,20","00,00","0,15","1,07","0,02",4
18,00370,1100148,NOVA BRASILÂNDIA D&apos;OESTE,RO,RONDÔNIA,"2,09","27,13","0,07","2,78","0,03","00,00","67,30","00,00","0,05","0,56","00,00",4
19,00396,1100130,MACHADINHO D&apos;OESTE,RO,RONDÔNIA,"1,62","29,17","0,10","3,04","0,03","0,01","65,43","0,01","0,11","0,47","0,01",4
20,00418,1100320,SÃO MIGUEL DO GUAPORÉ,RO,RONDÔNIA,"1,98","31,61","0,06","3,33","0,01","0,01","62,21","00,00","0,12","0,67","00,00",4
21,00434,1100338,NOVA MAMORÉ,RO,RONDÔNIA,"1,50","23,10","0,02","1,71","0,02","0,01","73,21","00,00","0,08","0,35","0,01",4
22,00450,1100031,CABIXI,RO,RONDÔNIA,"1,25","32,32","0,06","2,87","00,00","0,03","62,76","0,03","0,28","0,40","00,00",4
23,00477,1100809,CANDEIAS DO JAMARI,RO,RONDÔNIA,"1,49","38,30","0,06","3,57","0,01","0,01","55,68","0,01","0,16","0,70","00,00",4
